201;03;01;2013/000400;CENTRO DE MAYORES SAN FRANCISCO, C/ JERTE, 3. ADOPCIÓN MEDIDAS DE SEGURIDAD;0
213;06;01;2011/000349;COLONIAS SAN FCO.JAVIER-NUESTRA SRA.DE LOS ÁNGELES.CIERRE REDES DE SERVICIOS;425589.92
998;07;04;2006/000936;PASARELAS PEATONALES ENTRE NUDO DE LA PALOMA Y ENLACE DE COSTA RICA;22669.3
998;07;04;2008/000606;PASARELA PEATONAL ARGANZUELA II, ENTRE Pº YESERÍAS Y AV.DEL MANZANARES;961.2
212;07;06;2010/008156;PLATAFORMA RESERVADA AUTOBUSES EN AV.CÓRDOBA ENTRE GLORIETAS CÁDIZ Y MÁLAGA;10389.23
201;11;04;2009/000227;CENTRO POLIVALENTE EN LA C/BARCELÓ. CONSTRUCCIÓN;10909274.76
999;00;01;2013/000199;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DE LAS ARTES, DEPORTES Y TURISMO;781.18
201;10;03;2013/000188;EDIFICIO CONDE DUQUE. SEÑALIZACIÓN DE EMERGENCIA;3894.97
201;10;00;2013/000136;BIBLIOTECA CONDE DUQUE. ARCO ANTIHURTO;0
998;10;00;2013/000147;BIBLIOTECAS PÚBLICAS DE LA CIUDAD DE MADRID. INSTALACIONES DE SEGURIDAD;0
998;10;00;2013/010147;UNIDAD CENTRAL DE BIBLIOTECAS. SISTEMAS ANTIHURTO PRÉSTAMO DE LIBROS;18356.91
998;10;00;2013/000103;EQUIPAMIENTO BIBLIOTECAS PÚBLICAS DE LA CIUDAD DE MADRID;0
201;10;00;2013/010103;EQUIPAMIENTO BIBLIOTECA HISTÓRICA, C/ CONDE DUQUE, 9;24967.19
212;10;00;2013/020103;EQUIPAMIENTO BIBLIOTECA PÚBLICA ORCASUR, PZA. DEL PUEBLO, 2;121243.23
201;10;01;2013/000160;EQUIPAMIENTO ARCHIVO DE VILLA, C/ CONDE DUQUE, 11;59702.82
998;10;00;2013/000103;EQUIPAMIENTO BIBLIOTECAS PÚBLICAS DE LA CIUDAD DE MADRID;0
201;10;00;2013/010103;EQUIPAMIENTO BIBLIOTECA HISTÓRICA, C/ CONDE DUQUE, 9;34760.76
201;10;00;2013/030103;EQUIPAMIENTO BIBLIOTECA DIGITAL MEMORIA DE MADRID, C/ CONDE DUQUE, 9 Y 11;2929.17
201;10;00;2013/040103;EQUIPAMIENTO BIBLIOTECA IVÁN DE VARGAS, C/ SAN JUSTO, 5;1078.9
201;10;00;2013/050103;EQUIPAMIENTO BIBLIOTECA VICTOR ESPINÓS, C/ CONDE DUQUE, 11;13093.22
210;10;00;2013/060103;EQUIPAMIENTO BIBLIOTECA PÚBLICA ÁNGEL GONZÁLEZ, C/ GRANJA DE TORREHERMOSA, 1;6893.21
220;10;00;2013/070103;EQUIPAMIENTO BIBLIOTECA JOSÉ HIERRO, C/ MARÍA SEVILLA DIAGO, 13;460.07
220;10;00;2013/080103;EQUIPAMIENTO BIBLIOTECA PÚBLICA SAN BLAS, C/ SAN ROMÁN DEL VALLE, 8;5105.89
221;10;00;2013/090103;EQUIPAMIENTO BIBLIOTECA PÚBLICA GLORIA FUERTES, AV. LOGROÑO, 179;13565.07
